Name,latitude,longitude,Description
Cedar Rapids,41.9758872,-91.6704053,
Grundy Center,42.3616501,-92.7685327,Felix Grundy Days
St. Cloud,45.5616075,-94.1642004,
St. Louis,38.6272733,-90.1978889,"Mary Jo's
Bridget & Yusuf's Wedding"
Arenal Volcano,10.6204181,-84.42574668,
Zarcero,10.21859085,-84.40948351,
Manuel Antonio National Park,9.38650965,-84.13887755,
Des Moines,41.5910641,-93.6037149,
Chicago,41.8755546,-87.6244212,
Abu Dhabi,24.4736758,54.3750393,
Prague,50.0874654,14.4212535,
Vienna,48.2083537,16.3725042,
Budapest,47.4983815,19.0404707,
Rome,41.8933203,12.4829321,
Vatican City,41.9034912,12.4528349,
Sorrento,40.624906,14.374836,
Naples,40.8359336,14.2487826,
Florence,43.7698712,11.2555757,
Venice,45.4371908,12.3345898,
Verona,45.4384958,10.9924122,
Burano,45.48533905,12.41756237,
Cinque Terre Point,44.1699056,9.6120397,
Capri,40.549303,14.243534,
Hanoi,21.0292095,105.85247,
H?i An,15.8793816,108.3273966,
Hue,16.4690912,107.5777611,
Da Nang,16.0679814,108.2119396,
Ho Chi Minh City,10.7758439,106.7017555,
C? Chi Tunnels,10.9756093,106.499711,
Indianapolis,39.7683331,-86.1583502,
Louisville,38.2542376,-85.759407,Derek's Family
Bardstown,37.8092279,-85.4669025,Bardstown Farmers Market
Elizabethtown,37.693952,-85.8591285,Dori's House
Lima - Miraflores,-12.12149805,-77.02590642,
Arequipa,-16.3988645,-71.5369607,
Colca Canyon,-15.6366782,-71.6022313,
Machu Picchu,-13.25,-72.333333,
Cusco,-13.5,-72,
Vinicunca Rainbow Mountain,41.3274302,-89.1288762,
Dubai,25.2683521,55.2961962,Skydiving!
Maker's Mark Distillery,37.6353404,-85.4007952,
San José,-23.2163831,-65.3503819,
