Name,Latitude,Longitude
Des Moines,41.5910641,-93.6037149
Grundy Center,42.3616501,-92.7685327
Des Moines,41.5910641,-93.6037149
St. Cloud,45.5616075,-94.1642004
Chicago,41.8755546,-87.6244212
St. Louis,38.6272733,-90.1978889
Indianapolis,39.7683331,-86.1583502
Louisville,38.2542376,-85.759407
Elizabethtown,37.693952,-85.8591285
Bardstown,37.8092279,-85.4669025
Elizabethtown,37.693952,-85.8591285
Zarcero,10.21859085,-84.40948351
Colca Canyon,-15.6366782,-71.6022313
Milan,45.464204,9.189982
Machu Picchu,-13.25,-72.333333
Rainbow Mountain,-13.790833,-71.2325
Abu Dhabi,24.4736758,54.3750393
Verona,45.4384958,10.9924122
Cu Chi Tunnels,10.9756093,106.499711
Da Nang,16.0679814,108.2119396
Hoi An,15.8793816,108.3273966
Chincha Alta,-13.42553,-76.136711
San José,9.927128,-84.082012
Rome,41.8933203,12.4829321
Sorrento,40.624906,14.374836
Vienna,48.2083537,16.3725042
Sorrento,40.624906,14.374836
Vatican City,41.9034912,12.4528349
Arenal Volcano,10.6204181,-84.42574668
Florence,43.7698712,11.2555757
Cinque Terre,44.1699056,9.6120397
Venice,45.4371908,12.3345898
Budapest,47.4983815,19.0404707
Manuel Antonio,9.38650965,-84.13887755
